,Name,pfast,pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
96,SMACross,7,24,0.0590,20.0661,52.0000,18.0000,34.0000,0.3462,344.7284,-156.8830,3.0000,5.0000,2.1974,198,116,268,233,203.7500
97,SMACross,7,25,0.0830,19.6923,49.0000,17.0000,32.0000,0.3469,371.6359,-162.7973,3.0000,5.0000,2.2828,154,106,265,182,176.7500
98,SMACross,7,26,0.0759,18.3717,49.0000,15.0000,34.0000,0.3061,405.3128,-159.2955,3.0000,6.0000,2.5444,166,70,474,79,197.2500
99,SMACross,7,27,0.0812,19.9900,47.0000,15.0000,32.0000,0.3191,411.1004,-170.3220,3.0000,6.0000,2.4137,156,114,408,116,198.5000
100,SMACross,7,28,0.1436,18.2327,46.0000,16.0000,30.0000,0.3478,413.8826,-176.2391,2.0000,5.0000,2.3484,74,68,262,144,137.0000
101,SMACross,7,29,0.0191,28.8219,47.0000,14.0000,33.0000,0.2979,461.6634,-192.7919,2.0000,6.0000,2.3946,272,314,524,122,308.0000
102,SMACross,7,30,0.0522,29.2370,46.0000,14.0000,32.0000,0.3043,457.5255,-186.7639,2.0000,6.0000,2.4498,209,326,489,102,281.5000
103,SMACross,7,31,0.0219,29.9162,47.0000,13.0000,34.0000,0.2766,464.0822,-173.6551,2.0000,7.0000,2.6724,264,339,592,46,310.2500
104,SMACross,7,32,0.0242,28.7167,48.0000,13.0000,35.0000,0.2708,458.9177,-166.1231,2.0000,7.0000,2.7625,262,310,604,34,302.5000
105,SMACross,7,33,-0.0046,30.6347,48.0000,13.0000,35.0000,0.2708,430.6601,-162.5118,3.0000,10.0000,2.6500,333,354,604,51,335.5000
106,SMACross,7,34,0.0212,29.1159,44.0000,13.0000,31.0000,0.2955,439.1086,-178.7379,3.0000,7.0000,2.4567,266,322,534,101,305.7500
107,SMACross,7,35,0.0248,28.6678,44.0000,13.0000,31.0000,0.2955,439.9598,-177.9224,3.0000,7.0000,2.4728,261,309,534,96,300.0000
